langue,value_count
Anglais,4508
Français,3271
Espagnol,392
Italien,223
Japonais,205
Allemand,200
Arabe,125
Portugais,97
Coréen,83
Hebreu,80
Hindi,73
Russe,73
Mandarin,52
Roumain,50
Suédois,45
Norvégien,43
Chinois,43
Danois,39
Perse,38
Turc,29
Polonais,28
Tamoul,24
Hongrois,24
Néerlandais,22
Farsi,22
Islandais,19
Grec,18
Autre,18
Finnois,18
Muet,18
Tchèque,16
Cantonais,14
Thaï,14
Géorgien,13
Filipino,11
Bulgare,10
Bosniaque,9
Serbo-Croate,9
Lituanien,8
Catalan,8
ukrainien,8
Serbe,8
Flamand,8
Algérien,7
Suisse allemand,7
Kazakh,7
Afrikaans,5
Bengali,5
Vietnamien,5
Arménien,5
Créole,4
Slovène,4
Albanian,4
Kurde,4
Urdu,4
Estonien,4
Amharique,4
Indonésien,4
Dialecte africain,4
Khmer,3
Mongol,3
Yiddish,3
Tibétain,3
Slovaque,3
Kirghize,2
Lingala,2
Araméen,2
Swahili,2
Maya,2
Letton,1
Galicien,1
Somalien,1
Inuktitut,1
Wolof,1
Bambara,1
Gaélique,1
Langue aborigène,1
Sotho,1
birman,1
macédonien,1
