nationalités,value_count
U.S.A.,3739
France,3652
Grande-Bretagne,461
Italie,238
Allemagne,221
Japon,204
Espagne,194
Canada,140
Belgique,137
Inde,126
Corée du Sud,86
Argentine,77
Israël,75
Chine,69
Danemark,69
Russie,68
Brésil,64
Australie,63
Suisse,62
Suède,56
Norvège,51
Iran,51
Roumanie,50
Mexique,43
Portugal,41
Autriche,41
Chili,38
Irlande,37
Pologne,31
Finlande,26
Hong-Kong,25
Colombie,25
Hongrie,23
Islande,23
Pays-Bas,22
Turquie,22
Maroc,21
Grèce,16
Taïwan,15
Palestine,13
Algérie,13
Tunisie,12
Thaïlande,12
Bulgarie,12
Liban,12
Philippines,11
Ukraine,11
Pérou,11
Egypte,10
Lituanie,10
kazakhstan,10
Afrique du Sud,10
Uruguay,10
République tchèque,9
Géorgie,8
Luxembourg,8
Croatie,7
Singapour,7
Slovaquie,7
Serbie,6
Cuba,5
Bosnie-Herzégovine,5
Indonésie,5
Vénézuela,5
Vietnam,4
Tchécoslovaquie,4
Estonie,4
Slovénie,4
URSS,4
Burkina Faso,3
Costa Rica,3
Kenya,3
Bhoutan,3
Lettonie,3
Cambodge,3
Irak,2
Ethiopie,2
Jordanie,2
Allemagne de l'Ouest,2
Népal,2
Bengladesh,2
Pakistan,2
Sri Lanka,2
Sénégal,2
Syrie,2
Malte,2
Bolivie,2
Mongolie,2
Guatemala,2
Kosovo,2
Jamaïque,1
Birmanie,1
Afghanistan,1
Arabie Saoudite,1
Bénin,1
Albanie,1
Nicaragua,1
Arménie,1
Koweit,1
Macédoine,1
Cameroun,1
République dominicaine,1
Lésotho,1
kirghizistan,1
Vanuatu,1
Equateur,1
Paraguay,1
Rwanda,1
Côte-d'Ivoire,1
Emirats Arabes Unis,1
Soudan,1
Tanzanie,1
Nouvelle-Zélande,1
Allemagne de l'Est,1
Haïti,1
Qatar,1
Guinée-Bissau,1
